McD=0_SB=1;Category;Kind;Item;Energy(kcal);Fat(g);Carbohydrates(g);Fiber(g);Protein(g);Sodium(g)
0;food;Hot Breakfast;Sausage Biscuit (Large Biscuit);480;31;39;3;11;1.19
0;food;Hot Breakfast;Sausage Biscuit with Egg (Regular Biscuit);510;33;36;2;18;1.17
0;food;Hot Breakfast;Sausage Biscuit with Egg (Large Biscuit);570;37;42;3;18;1.28
0;food;Hot Breakfast;Sausage Biscuit with Egg Whites (Regular Biscuit);460;27;34;2;18;1.18
0;food;Hot Breakfast;Sausage Biscuit with Egg Whites (Large Biscuit);520;32;40;3;18;1.29
0;food;Hot Breakfast;Southern Style Chicken Biscuit (Regular Biscuit);410;20;41;2;17;1.18
0;food;Hot Breakfast;Southern Style Chicken Biscuit (Large Biscuit);470;24;46;3;17;1.29
0;food;Hot Breakfast;Steak & Egg Biscuit (Regular Biscuit);540;32;38;2;25;1.47
0;food;Hot Breakfast;Bacon, Egg & Cheese McGriddles;460;21;48;2;19;1.25
0;food;Hot Breakfast;Bacon, Egg & Cheese McGriddles with Egg Whites;400;15;47;2;20;1.25
0;food;Hot Breakfast;Sausage McGriddles;420;22;44;2;11;1.03
0;food;Hot Breakfast;Sausage, Egg & Cheese McGriddles;550;31;48;2;20;1.32
0;food;Hot Breakfast;Sausage, Egg & Cheese McGriddles with Egg Whites;500;26;46;2;21;1.32
0;food;Hot Breakfast;Bacon, Egg & Cheese Bagel;620;31;57;3;30;1.48
0;food;Hot Breakfast;Bacon, Egg & Cheese Bagel with Egg Whites;570;25;55;3;30;1.48
0;food;Hot Breakfast;Steak, Egg & Cheese Bagel;670;35;56;3;33;1.51
0;food;Hot Breakfast;Big Breakfast (Regular Biscuit);740;48;51;3;28;1.56
0;food;Hot Breakfast;Big Breakfast (Large Biscuit);800;52;56;4;28;1.68
0;food;Hot Breakfast;Big Breakfast with Egg Whites (Regular Biscuit);640;37;50;3;26;1.59
0;food;Hot Breakfast;Big Breakfast with Egg Whites (Large Biscuit);690;41;55;4;26;1.7
0;food;Hot Breakfast;Big Breakfast with Hotcakes (Regular Biscuit);1090;56;111;6;36;2.15
0;food;Hot Breakfast;Big Breakfast with Hotcakes (Large Biscuit);1150;60;116;7;36;2.26
0;food;Hot Breakfast;Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit);990;46;110;6;35;2.17
0;food;Hot Breakfast;Big Breakfast with Hotcakes and Egg Whites (Large Biscuit);1050;50;115;7;35;2.29
0;food;Hot Breakfast;Hotcakes;350;9;60;3;8;0.59
0;food;Hot Breakfast;Hotcakes and Sausage;520;24;61;3;15;0.93
0;food;Sandwiches/Burgers;Sausage Burrito;300;16;26;1;12;0.79
0;food;Sandwiches/Burgers;Hash Brown;150;9;15;2;1;0.31
0;food;Sandwiches/Burgers;Cinnamon Melts;460;19;66;3;6;0.37
0;food;Sandwiches/Burgers;Fruit & Maple Oatmeal;290;4;58;5;5;0.16
0;food;Sandwiches/Burgers;Fruit & Maple Oatmeal without Brown Sugar;260;4;49;5;5;0.115
0;food;Sandwiches/Burgers;Big Mac;530;27;47;3;24;0.96
0;food;Sandwiches/Burgers;Quarter Pounder with Cheese;520;26;41;3;30;1.1
0;food;Sandwiches/Burgers;Quarter Pounder with Bacon & Cheese;600;29;48;3;37;1.44
0;food;Sandwiches/Burgers;Quarter Pounder with Bacon Habanero Ranch;610;31;46;3;37;1.18
0;food;Sandwiches/Burgers;Quarter Pounder Deluxe;540;27;45;3;29;0.96
0;food;Sandwiches/Burgers;Double Quarter Pounder with Cheese;750;43;42;3;48;1.28
0;food;Sandwiches/Burgers;Hamburger;240;8;32;1;12;0.48
0;food;Sandwiches/Burgers;Cheeseburger;290;11;33;2;15;0.68
0;food;Sandwiches/Burgers;Double Cheeseburger;430;21;35;2;24;1.04
0;food;Sandwiches/Burgers;Bacon Clubhouse Burger;720;40;51;4;39;1.47
0;food;Sandwiches/Burgers;McDouble;380;17;34;2;22;0.84
0;food;Sandwiches/Burgers;Bacon McDouble;440;22;35;2;27;1.11
0;food;Sandwiches/Burgers;Daily Double;430;22;34;2;22;0.76
0;food;Sandwiches/Burgers;Jalapeeo Double;430;23;35;2;22;1.03
0;food;Sandwiches/Burgers;McRib;500;26;44;3;22;0.98
0;food;Sandwiches/Burgers;Premium Crispy Chicken Classic Sandwich;510;22;55;3;24;0.99
0;food;Sandwiches/Burgers;Premium Grilled Chicken Classic Sandwich;350;9;42;3;28;0.82
0;food;Sandwiches/Burgers;Premium Crispy Chicken Club Sandwich;670;33;58;3;36;1.41
0;food;Sandwiches/Burgers;Premium Grilled Chicken Club Sandwich;510;20;44;3;40;1.25
0;food;Sandwiches/Burgers;Premium Crispy Chicken Ranch BLT Sandwich;610;28;57;3;32;1.4
0;food;Sandwiches/Burgers;Premium Grilled Chicken Ranch BLT Sandwich;450;15;43;3;36;1.23
0;food;Sandwiches/Burgers;Bacon Clubhouse Crispy Chicken Sandwich;750;38;65;4;36;1.72
0;food;Sandwiches/Burgers;Bacon Clubhouse Grilled Chicken Sandwich;590;25;51;4;40;1.56
0;food;Sandwiches/Burgers;Southern Style Crispy Chicken Sandwich;430;19;43;2;21;0.91
0;food;Sandwiches/Burgers;McChicken;360;16;40;2;14;0.8
0;food;Sandwiches/Burgers;Bacon Cheddar McChicken;480;24;43;2;22;1.26
0;food;Sandwiches/Burgers;Bacon Buffalo Ranch McChicken;430;21;41;2;20;1.26
0;food;Sandwiches/Burgers;Buffalo Ranch McChicken;360;16;40;2;14;0.99
0;food;Sandwiches/Burgers;Premium McWrap Chicken & Bacon (Crispy Chicken);630;32;56;3;32;1.54
0;food;Sandwiches/Burgers;Premium McWrap Chicken & Bacon (Grilled Chicken);480;19;42;3;36;1.37
0;food;Sandwiches/Burgers;Premium McWrap Chicken & Ranch (Crispy Chicken);610;31;56;3;27;1.34
0;food;Sandwiches/Burgers;Premium McWrap Chicken & Ranch (Grilled Chicken);450;18;42;3;30;1.17
0;food;Sandwiches/Burgers;Premium McWrap Southwest Chicken (Crispy Chicken);670;33;68;5;27;1.48
0;food;Sandwiches/Burgers;Premium McWrap Southwest Chicken (Grilled Chicken);520;20;55;5;31;1.32
0;food;Sandwiches/Burgers;Premium McWrap Chicken Sweet Chili (Crispy Chicken);540;23;61;3;23;1.26
0;food;Sandwiches/Burgers;Premium McWrap Chicken Sweet Chili (Grilled Chicken);380;10;47;3;27;1.09
0;food;Sandwiches/Burgers;Chicken McNuggets (4 piece);190;12;12;1;9;0.36
0;food;Sandwiches/Burgers;Chicken McNuggets (6 piece);280;18;18;1;13;0.54
0;food;Sandwiches/Burgers;Chicken McNuggets (10 piece);470;30;30;2;22;0.9
0;food;Sandwiches/Burgers;Chicken McNuggets (20 piece);940;59;59;3;44;1.8
0;food;Sandwiches/Burgers;Chicken McNuggets (40 piece);1880;118;118;6;87;3.6
0;food;Sandwiches/Burgers;Filet-O-Fish;390;19;39;2;15;0.59
0;food;Salads;Premium Bacon Ranch Salad (without Chicken);140;7;10;3;9;0.3
0;food;Salads;Premium Bacon Ranch Salad with Crispy Chicken;380;21;22;2;25;0.86
0;food;Salads;Premium Bacon Ranch Salad with Grilled Chicken;220;8;8;2;29;0.69
0;food;Salads;Premium Southwest Salad (without Chicken);140;4.5;20;6;6;0.15
0;food;Salads;Premium Southwest Salad with Crispy Chicken;450;22;42;7;23;0.85
0;food;Salads;Premium Southwest Salad with Grilled Chicken;290;8;28;7;27;0.68
0;food;Chiken Snacks;Chipotle BBQ Snack Wrap (Crispy Chicken);340;15;37;1;14;0.78
0;food;Chiken Snacks;Chipotle BBQ Snack Wrap (Grilled Chicken);260;8;30;1;16;0.7
0;food;Chiken Snacks;Honey Mustard Snack Wrap (Crispy Chicken);330;15;34;1;14;0.73
0;food;Chiken Snacks;Honey Mustard Snack Wrap (Grilled Chicken);250;8;27;1;16;0.65
0;food;Chiken Snacks;Ranch Snack Wrap (Crispy Chicken);360;20;32;1;15;0.81
0;food;Chiken Snacks;Ranch Snack Wrap (Grilled Chicken);280;13;25;1;16;0.72
0;food;Chiken Snacks;Small French Fries;230;11;30;2;2;0.13
0;food;Chiken Snacks;Medium French Fries;340;16;44;4;4;0.19
0;food;Chiken Snacks;Large French Fries;510;24;67;5;6;0.29
0;food;Chiken Snacks;Kids French Fries;110;5;15;1;1;0.065
0;food;Salads;Side Salad;20;0;4;1;1;0.01
0;food;Sweets/Desserts;Apple Slices;15;0;4;0;0;0
0;food;Sweets/Desserts;Fruit 'n Yogurt Parfait;150;2;30;1;4;0.07
0;food;Sweets/Desserts;Baked Apple Pie;250;13;32;4;2;0.17
0;food;Sweets/Desserts;Chocolate Chip Cookie;160;8;21;1;2;0.09
0;food;Sweets/Desserts;Oatmeal Raisin Cookie;150;6;22;1;2;0.135
0;food;Sweets/Desserts;Kids Ice Cream Cone;45;1.5;7;0;1;0.02
0;food;Sweets/Desserts;Hot Fudge Sundae;330;9;53;1;8;0.17
0;food;Sweets/Desserts;Hot Caramel Sundae;340;8;60;0;7;0.15
0;food;Sweets/Desserts;Strawberry Sundae;280;6;49;0;6;0.085
0;food;Snacks;McFlurry with M&M’s Candies (Small);650;23;96;1;13;0.18
0;food;Snacks;McFlurry with M&M’s Candies (Medium);930;33;139;2;20;0.26
0;food;Snacks;McFlurry with M&M’s Candies (Snack);430;15;64;1;9;0.12
0;food;Snacks;McFlurry with Oreo Cookies (Small);510;17;80;1;12;0.28
0;food;Snacks;McFlurry with Oreo Cookies (Medium);690;23;106;1;15;0.38
0;food;Snacks;McFlurry with Oreo Cookies (Snack);340;11;53;1;8;0.19
0;food;Snacks;McFlurry with Reese's Peanut Butter Cups (Medium);810;32;114;2;21;0.4
0;food;Snacks;McFlurry with Reese's Peanut Butter Cups (Snack);410;16;57;1;10;0.2
0;drink;Cold Drinks;Coca-Cola Classic (Small);140;0;39;0;0;0
0;drink;Cold Drinks;Coca-Cola Classic (Medium);200;0;55;0;0;0.005
0;drink;Cold Drinks;Coca-Cola Classic (Large);280;0;76;0;0;0.005
0;drink;Cold Drinks;Coca-Cola Classic (Child);100;0;28;0;0;0
0;drink;Cold Drinks;Diet Coke (Small);0;0;0;0;0;0.01
0;drink;Cold Drinks;Diet Coke (Medium);0;0;0;0;0;0.02
0;drink;Cold Drinks;Diet Coke (Large);0;0;0;0;0;0.035
0;drink;Cold Drinks;Diet Coke (Child);0;0;0;0;0;0.015
0;drink;Cold Drinks;Dr Pepper (Small);140;0;37;0;0;0.045
0;drink;Cold Drinks;Dr Pepper (Medium);190;0;53;0;0;0.065
0;drink;Cold Drinks;Dr Pepper (Large);270;0;72;0;0;0.09
0;drink;Cold Drinks;Dr Pepper (Child);100;0;27;0;0;0.03
0;drink;Cold Drinks;Diet Dr Pepper (Small);0;0;0;0;2;0.07
0;drink;Cold Drinks;Diet Dr Pepper (Medium);0;0;0;0;3;0.1
0;drink;Cold Drinks;Diet Dr Pepper (Large);0;0;0;0;4;0.14
0;drink;Cold Drinks;Diet Dr Pepper (Child);0;0;0;0;1;0.05
0;drink;Cold Drinks;Sprite (Small);140;0;37;0;0;0.03
0;drink;Cold Drinks;Sprite (Medium);200;0;54;0;0;0.045
0;drink;Cold Drinks;Sprite (Large);280;0;74;0;0;0.06
0;drink;Cold Drinks;Sprite (Child);100;0;27;0;0;0.025
0;drink;Cold Drinks;1% Low Fat Milk Jug;100;2.5;12;0;8;0.125
0;drink;Cold Drinks;Fat Free Chocolate Milk Jug;130;0;23;1;9;0.135
0;drink;Cold Drinks;Minute Maid 100% Apple Juice Box;80;0;21;0;0;0.015
0;drink;Cold Drinks;Minute Maid Orange Juice (Small);150;0;34;0;2;0
0;drink;Cold Drinks;Minute Maid Orange Juice (Medium);190;0;44;0;3;0
0;drink;Cold Drinks;Minute Maid Orange Juice (Large);280;0;65;0;4;0.005
0;drink;Cold Drinks;Dasani Water Bottle;0;0;0;0;0;0
0;drink;Cold Drinks;Iced Tea (Small);0;0;0;0;0;0.01
0;drink;Cold Drinks;Iced Tea (Medium);0;0;0;0;0;0.01
0;drink;Cold Drinks;Iced Tea (Large);0;0;0;0;0;0.015
0;drink;Cold Drinks;Iced Tea (Child);0;0;0;0;0;0.005
0;drink;Hot Drinks;Sweet Tea (Small);150;0;36;0;1;0.01
0;drink;Hot Drinks;Sweet Tea (Medium);180;0;45;0;1;0.01
0;drink;Hot Drinks;Sweet Tea (Large);220;0;54;0;1;0.01
0;drink;Hot Drinks;Sweet Tea (Child);110;0;27;0;0;0.005
0;drink;Hot Drinks;Coffee (Small);0;0;0;0;0;0
0;drink;Hot Drinks;Coffee (Medium);0;0;0;0;0;0
0;drink;Hot Drinks;Coffee (Large);0;0;0;0;0;0
0;drink;Hot Drinks;Latte (Small);170;9;15;1;9;0.115
0;drink;Hot Drinks;Latte (Medium);210;10;18;1;11;0.14
0;drink;Hot Drinks;Latte (Large);280;14;24;1;15;0.18
0;drink;Hot Drinks;Caramel Latte (Small);270;9;40;1;9;0.115
0;drink;Hot Drinks;Caramel Latte (Medium);340;10;50;1;11;0.14
0;drink;Hot Drinks;Caramel Latte (Large);430;14;62;1;15;0.18
0;drink;Hot Drinks;Hazelnut Latte (Small);270;9;40;1;9;0.115
0;drink;Hot Drinks;Hazelnut Latte (Medium);330;10;50;1;11;0.14
0;drink;Hot Drinks;Hazelnut Latte (Large);430;14;62;1;15;0.18
0;drink;Hot Drinks;French Vanilla Latte (Small);260;9;38;1;9;0.115
0;drink;Hot Drinks;French Vanilla Latte (Medium);330;10;48;1;11;0.14
0;drink;Hot Drinks;French Vanilla Latte (Large);420;14;60;1;15;0.19
0;drink;Hot Drinks;Latte with Sugar Free French Vanilla Syrup (Small);210;9;24;1;9;0.15
0;drink;Hot Drinks;Latte with Sugar Free French Vanilla Syrup (Medium);260;10;29;1;12;0.19
0;drink;Hot Drinks;Latte with Sugar Free French Vanilla Syrup (Large);330;14;37;2;15;0.24
0;drink;Hot Drinks;Nonfat Latte (Small);100;0;15;1;10;0.11
0;drink;Hot Drinks;Nonfat Latte (Medium);130;0;19;1;12;0.135
0;drink;Hot Drinks;Nonfat Latte (Large);170;0.5;25;1;16;0.18
0;drink;Hot Drinks;Nonfat Caramel Latte (Small);200;0;41;1;10;0.11
0;drink;Hot Drinks;Nonfat Caramel Latte (Medium);250;0;51;1;12;0.135
0;drink;Hot Drinks;Nonfat Caramel Latte (Large);310;0.5;63;1;16;0.18
0;drink;Hot Drinks;Nonfat Hazelnut Latte (Small);200;0;40;1;10;0.11
0;drink;Hot Drinks;Nonfat Hazelnut Latte (Medium);250;0;51;1;12;0.135
0;drink;Hot Drinks;Nonfat Hazelnut Latte (Large);310;0.5;63;1;16;0.18
0;drink;Hot Drinks;Nonfat French Vanilla Latte (Small);190;0;39;1;10;0.115
0;drink;Hot Drinks;Nonfat French Vanilla Latte (Medium);240;0;49;1;12;0.14
0;drink;Hot Drinks;Nonfat French Vanilla Latte (Large);300;0.5;60;1;16;0.18
0;drink;Hot Drinks;Nonfat Latte with Sugar Free French Vanilla Syrup (Small);140;0;24;1;10;0.15
0;drink;Hot Drinks;Nonfat Latte with Sugar Free French Vanilla Syrup (Medium);170;0;30;1;12;0.18
0;drink;Hot Drinks;Nonfat Latte with Sugar Free French Vanilla Syrup (Large);220;0.5;38;2;16;0.24
0;drink;Hot Drinks;Mocha (Small);340;11;49;2;10;0.15
0;drink;Hot Drinks;Mocha (Medium);410;14;60;2;13;0.19
0;drink;Hot Drinks;Mocha (Large);500;17;72;2;16;0.24
0;drink;Hot Drinks;Mocha with Nonfat Milk (Small);270;3.5;49;2;11;0.15
0;drink;Hot Drinks;Mocha with Nonfat Milk (Medium);330;3.5;60;2;13;0.19
0;drink;Hot Drinks;Mocha with Nonfat Milk (Large);390;4;73;2;17;0.24
0;drink;Hot Drinks;Caramel Mocha (Small);320;11;45;1;10;0.17
0;drink;Hot Drinks;Caramel Mocha (Medium);390;14;55;1;12;0.22
0;drink;Hot Drinks;Caramel Mocha (Large);480;17;66;1;16;0.27
0;drink;Hot Drinks;Nonfat Caramel Mocha (Small);250;3.5;45;1;10;0.17
0;drink;Hot Drinks;Nonfat Caramel Mocha (Medium);310;3.5;56;1;13;0.21
0;drink;Hot Drinks;Nonfat Caramel Mocha (Large);370;3.5;67;1;17;0.27
0;drink;Hot Drinks;Hot Chocolate (Small);360;13;50;1;11;0.18
0;drink;Hot Drinks;Hot Chocolate (Medium);440;16;61;1;14;0.22
0;drink;Hot Drinks;Hot Chocolate (Large);540;20;73;1;17;0.28
0;drink;Hot Drinks;Hot Chocolate with Nonfat Milk (Small);280;3.5;50;1;12;0.18
0;drink;Hot Drinks;Hot Chocolate with Nonfat Milk (Medium);340;3.5;61;1;14;0.22
0;drink;Hot Drinks;Hot Chocolate with Nonfat Milk (Large);400;3.5;74;1;19;0.28
0;drink;Cold Drinks;Regular Iced Coffee (Small);140;4.5;23;0;1;0.035
0;drink;Cold Drinks;Regular Iced Coffee (Medium);190;7;31;0;1;0.05
0;drink;Cold Drinks;Regular Iced Coffee (Large);270;9;47;0;2;0.075
0;drink;Cold Drinks;Caramel Iced Coffee (Small);130;4.5;22;0;1;0.035
0;drink;Cold Drinks;Caramel Iced Coffee (Medium);180;7;29;0;1;0.05
0;drink;Cold Drinks;Caramel Iced Coffee (Large);260;9;43;0;2;0.065
0;drink;Cold Drinks;Hazelnut Iced Coffee (Small);130;4.5;21;0;1;0.035
0;drink;Cold Drinks;Hazelnut Iced Coffee (Medium);180;7;29;0;1;0.05
0;drink;Cold Drinks;Hazelnut Iced Coffee (Large);250;9;43;0;2;0.075
0;drink;Cold Drinks;French Vanilla Iced Coffee (Small);120;4.5;20;0;1;0.04
0;drink;Cold Drinks;French Vanilla Iced Coffee (Medium);170;7;27;0;1;0.055
0;drink;Cold Drinks;French Vanilla Iced Coffee (Large);240;9;41;0;2;0.08
0;drink;Cold Drinks;Iced Coffee with Sugar Free French Vanilla Syrup (Small);80;4.5;9;0;1;0.065
0;drink;Cold Drinks;Iced Coffee with Sugar Free French Vanilla Syrup (Medium);120;7;12;0;1;0.09
0;drink;Cold Drinks;Iced Coffee with Sugar Free French Vanilla Syrup (Large);160;9;18;0;2;0.135
0;drink;Cold Drinks;Iced Mocha (Small);290;11;41;1;8;0.125
0;drink;Cold Drinks;Iced Mocha (Medium);350;13;50;1;9;0.15
0;drink;Cold Drinks;Iced Mocha (Large);480;16;70;2;14;0.22
0;drink;Cold Drinks;Iced Mocha with Nonfat Milk (Small);240;5;41;1;8;0.125
0;drink;Cold Drinks;Iced Mocha with Nonfat Milk (Medium);290;5;50;1;10;0.15
0;drink;Cold Drinks;Iced Mocha with Nonfat Milk (Large);390;6;71;2;14;0.22
0;drink;Cold Drinks;Iced Caramel Mocha (Small);280;11;38;0;8;0.14
0;drink;Cold Drinks;Iced Caramel Mocha (Medium);340;13;46;1;9;0.17
0;drink;Cold Drinks;Iced Caramel Mocha (Large);460;16;65;1;13;0.25
0;drink;Cold Drinks;Iced Nonfat Caramel Mocha (Small);230;5;38;0;8;0.14
0;drink;Cold Drinks;Iced Nonfat Caramel Mocha (Medium);270;5;47;1;10;0.17
0;drink;Cold Drinks;Iced Nonfat Caramel Mocha (Large);370;6;65;1;14;0.25
0;drink;Cold Drinks;Frappe Mocha (Small);450;18;65;1;7;0.125
0;drink;Cold Drinks;Frappe Mocha (Medium);550;22;80;1;9;0.16
0;drink;Cold Drinks;Frappe Mocha (Large);670;26;98;1;11;0.19
0;drink;Cold Drinks;Frappe Caramel (Small);450;19;64;0;7;0.125
0;drink;Cold Drinks;Frappe Caramel (Medium);550;23;79;0;9;0.16
0;drink;Cold Drinks;Frappe Caramel (Large);670;27;96;0;11;0.19
0;drink;Cold Drinks;Frappe Chocolate Chip (Small);530;23;76;1;8;0.135
0;drink;Cold Drinks;Frappe Chocolate Chip (Medium);630;26;91;1;9;0.16
0;drink;Cold Drinks;Frappe Chocolate Chip (Large);760;31;111;1;12;0.2
0;drink;Cold Drinks;Blueberry Pomegranate Smoothie (Small);220;0.5;50;3;2;0.04
0;drink;Cold Drinks;Blueberry Pomegranate Smoothie (Medium);260;1;62;4;3;0.05
0;drink;Cold Drinks;Blueberry Pomegranate Smoothie (Large);340;1;79;5;4;0.065
0;drink;Cold Drinks;Strawberry Banana Smoothie (Small);210;0.5;47;3;3;0.05
0;drink;Cold Drinks;Strawberry Banana Smoothie (Medium);250;1;58;3;4;0.06
0;drink;Cold Drinks;Strawberry Banana Smoothie (Large);330;1;74;4;5;0.08
0;drink;Cold Drinks;Mango Pineapple Smoothie (Small);210;0.5;50;1;2;0.04
0;drink;Cold Drinks;Mango Pineapple Smoothie (Medium);260;1;61;1;3;0.045
0;drink;Cold Drinks;Mango Pineapple Smoothie (Large);340;1;78;2;4;0.06
0;drink;Cold Drinks;Vanilla Shake (Small);530;15;86;0;11;0.16
0;drink;Cold Drinks;Vanilla Shake (Medium);660;19;109;0;14;0.2
0;drink;Cold Drinks;Vanilla Shake (Large);820;23;135;0;18;0.26
0;drink;Cold Drinks;Strawberry Shake (Small);550;16;90;0;12;0.16
0;drink;Cold Drinks;Strawberry Shake (Medium);690;20;114;0;15;0.21
0;drink;Cold Drinks;Strawberry Shake (Large);850;24;140;0;18;0.26
0;drink;Cold Drinks;Chocolate Shake (Small);560;16;91;1;12;0.24
0;drink;Cold Drinks;Chocolate Shake (Medium);700;20;114;2;15;0.3
0;drink;Cold Drinks;Chocolate Shake (Large);850;23;141;2;19;0.38
0;drink;Cold Drinks;Shamrock Shake (Medium);660;19;109;0;14;0.21
0;drink;Cold Drinks;Shamrock Shake (Large);820;23;135;0;18;0.26